listing_id,date,num_reviews,reviewers
13790067,2025-11-01,1,77371147
28991145,2025-12-01,1,467041632
28991145,2025-11-01,1,303646924
28991145,2025-09-01,1,84208915
28991145,2026-03-01,1,110555180
28991145,2026-01-01,1,195817340
12239029,2026-04-01,3,"451053331,56871704,251697892"
12239029,2026-03-01,1,57332764
12239029,2026-01-01,1,424541804
12239029,2025-12-01,1,53541753
12239029,2025-11-01,2,"2825664,726781014"
12239029,2025-08-01,3,"34446613,126035009,384966743"
12239029,2025-07-01,1,66950822
12239029,2025-06-01,2,"151872424,499648026"
17841456,2026-03-01,4,"32807896,69832241,551188900,291552674"
17841456,2025-12-01,2,"485443851,198338"
17841456,2025-11-01,1,132226710
17841456,2025-09-01,1,315579663
17841456,2025-07-01,1,402096512
17841456,2026-01-01,3,"76483167,390291825,161527156"
21716101,2026-01-01,1,671994989
21716101,2025-12-01,1,262248963
21716101,2025-08-01,1,181673879
21817589,2026-03-01,3,"21216577,10579690,127246378"
21817589,2025-07-01,3,"398542886,459753345,273850131"
21817589,2025-11-01,2,"552376435,418304680"
21817589,2025-09-01,4,"308404757,273719592,68492513,369319484"
21817589,2026-01-01,2,"28021878,382193136"
21817589,2025-10-01,3,"555638264,289263796,57102079"
21817589,2026-04-01,1,13576431
21817589,2025-06-01,2,"229204809,212183470"
21817589,2025-08-01,2,"242129254,467736665"
25090374,2026-03-01,3,"8921651,104709037,228024094"
25090374,2026-01-01,1,169993603
25090374,2025-11-01,2,"218099852,375085817"
25090374,2025-09-01,3,"96921055,192798328,10576776"
25090374,2025-07-01,1,688350080
25090374,2026-04-01,1,95171940
25090374,2026-02-01,2,"246841308,95327150"
25090374,2025-12-01,4,"53368882,42239754,129261021,535742031"
25090374,2025-10-01,2,"433250274,307884664"
25090374,2025-06-01,2,"14309336,133301825"
21671494,2026-03-01,2,"189224641,408978851"
21671494,2025-09-01,3,"142306820,21525561,21525561"
21671494,2025-07-01,1,68645919
21671494,2025-11-01,2,"21525561,21525561"
21671494,2026-01-01,3,"714650992,557617597,90227512"
21671494,2026-02-01,3,"484195494,743168780,403700915"
21671494,2025-12-01,2,"484195494,556885817"
27535687,2025-11-01,2,"294079266,465020207"
17423217,2025-11-01,1,57309759
17423217,2025-12-01,1,685311928
17423217,2026-03-01,2,"138259432,553471987"
29316127,2026-03-01,5,"2687490,131514499,3294732,32153902,67489816"
29316127,2025-07-01,3,"101306137,593908769,73660792"
29316127,2025-09-01,2,"52045743,1715058"
29316127,2025-11-01,6,"104884834,301139959,56722109,214767491,33840052,182970252"
29316127,2026-01-01,4,"729238404,132784316,494285853,104977667"
29316127,2026-04-01,4,"285918656,53219732,22126675,263236277"
29316127,2026-02-01,1,547480527
29316127,2025-06-01,4,"15491587,459443956,96238751,131970636"
29316127,2025-12-01,3,"89175676,115189,26380960"
29316127,2025-10-01,6,"12878932,215756119,596510561,53954423,45730207,396929787"
29316127,2025-08-01,1,482103086
22440323,2025-11-01,1,664528268
22440323,2025-09-01,1,704060279
31896934,2026-01-01,1,180329877
31896934,2025-12-01,2,"26675679,673670138"
31896934,2025-10-01,1,542210206
31896934,2025-09-01,1,28586430
31896934,2025-07-01,1,703180913
5842921,2026-03-01,5,"49104075,416432934,170715319,287043472,455828588"
5842921,2025-11-01,3,"354203262,469012372,233205908"
5842921,2025-07-01,5,"226240227,222378789,659297052,211785524,151949821"
5842921,2026-02-01,8,"580577561,53923654,80878256,174400452,350518027,315154793,12230262,350518027"
5842921,2025-06-01,3,"575804160,156644308,25476732"
